Instances, No_Node, No_cluster, No_req_node, Rate_Req 
100i1000-410,1000,100,241,0.24
100i1500-506,1500,100,307,0.2
100i2000-604,2000,100,376,0.19
100i2500-708,2500,100,438,0.18
100i3000-803,3000,100,508,0.17
10i1000-407,1000,10,159,0.16
10i1500-503,1500,10,231,0.15
10i300-109,300,10,54,0.18
10i400-206,400,10,70,0.18
10i500-305,500,10,82,0.16
150i1000-411,1000,150,282,0.28
150i1500-507,1500,150,349,0.23
150i2000-605,2000,150,422,0.21
150i2500-709,2500,150,482,0.19
150i3000-804,3000,150,548,0.18
15i300-110,300,15,59,0.2
15i400-207,400,15,75,0.19
15i500-306,500,15,87,0.17
200i2000-606,2000,200,466,0.23
200i2500-710,2500,200,524,0.21
200i3000-805,3000,200,594,0.2
20i1000-408,1000,20,169,0.17
20i1500-504,1500,20,241,0.16
20i2000-602,2000,20,305,0.15
20i2500-706,2500,20,373,0.15
20i300-111,300,20,63,0.21
20i3000-801,3000,20,439,0.15
20i400-208,400,20,79,0.2
20i500-307,500,20,92,0.18
25i300-112,300,25,68,0.23
25i400-209,400,25,82,0.21
25i500-308,500,25,96,0.19
50i1000-409,1000,50,195,0.2
50i1500-505,1500,50,266,0.18
50i2000-603,2000,50,334,0.17
50i2500-707,2500,50,396,0.16
50i3000-802,3000,50,464,0.15
5i300-108,300,5,49,0.16
5i400-205,400,5,65,0.16
5i500-304,500,5,77,0.15
