Dataset,avg,best,time(s)
10berlin52.txt,567,567,1629.63
10eil51.txt,887,887,1838.096
10eil76.txt,806,806,3392.782
10kroB100.txt,626,626,4884.982
10pr76.txt,795,795,3452.729
10rat99.txt,897,897,5306.593
10st70.txt,772,772,2760.239
15berlin52.txt,,,
15eil51.txt,,,
15eil76.txt,,,
15pr76.txt,,,
15st70.txt,,,
25eil101.txt,,,
25kroA100.txt,,,
25lin105.txt,,,
25rat99.txt,,,
50eil101.txt,,,
50kroA100.txt,,,
50kroB100.txt,,,
50lin105.txt,976,976,10727.861
50rat99.txt,746,746,8659.092
5berlin52.txt,920,920,1804.733
5eil51.txt,691,691,1261.639
5eil76.txt,475,475,2511.95
5pr76.txt,664,664,2702.053
5st70.txt,409,409,1922.643
75lin105.txt,668,668,8551.413
