Dataset,avg,best,time(s)
10berlin52.txt,635,567,388.814
10eil51.txt,901.167,887,567.332
10eil76.txt,910,818,947.837
10kroB100.txt,1109.567,841,1671.503
10pr76.txt,841.567,741,992.709
10rat99.txt,1476.267,1239,1804.591
10st70.txt,905.533,805,692.648
15berlin52.txt,929.6,851,590.028
15eil51.txt,963.3,912,604.869
15eil76.txt,1295.267,1143,928.854
15pr76.txt,1063.5,959,953.98
15st70.txt,1643.167,1452,1008.254
25eil101.txt,1350.6,1079,1232.36
25kroA100.txt,2165.4,1830,1755.612
25lin105.txt,1310.6,1136,1920.556
25rat99.txt,1875.267,1530,1549.692
50eil101.txt,1496.933,1314,1262.176
50kroA100.txt,1567.2,1244,1967.383
50kroB100.txt,1435.467,1177,1382.566
50lin105.txt,1836.267,1489,2057.471
50rat99.txt,1457.433,1110,1398.26
5berlin52.txt,932.6,920,499.823
5eil51.txt,757.633,690,654.71
5eil76.txt,499.733,473,1185.566
5pr76.txt,775.433,684,1357.634
5st70.txt,543.367,452,893.928
75lin105.txt,926.2,835,1568.062
